"dataID","HHuniqueID","Communication","LastContactDay","LastContactMonth","NoOfContacts","DaysPassed","PrevAttempts","past_Outcome","Y_AcceptedOffer"
4705,"HH2eb382a96d","cellular",12,"may",4,-1,0,NA,NA
4266,"HH7ec2c56376","telephone",31,"jul",8,-1,0,NA,NA
4828,"HH9a82ecf3ba","cellular",4,"may",4,-1,0,NA,NA
4394,"HHa60b0be9e9","cellular",12,"mar",2,-1,0,NA,NA
4952,"HHc239353c75","cellular",7,"aug",2,-1,0,NA,NA
4482,"HH0e3f36f8d3","cellular",2,"jun",2,-1,0,NA,NA
4313,"HHfb759a06c3",NA,9,"jun",10,-1,0,NA,NA
4800,"HH6965a93fb2","cellular",6,"may",1,342,2,"failure",NA
4839,"HH59b703c8ce","cellular",4,"aug",1,181,2,"other",NA
4437,"HH13a5351910","cellular",11,"aug",5,-1,0,NA,NA
4358,"HH601e454742","cellular",9,"feb",3,-1,0,NA,NA
4936,"HHbb5e918101","cellular",22,"oct",3,183,1,"success",NA
